#observed;actual;antenna;datetime
0;57;32;02/07/15 05:49 AM
0;55;32;02/07/15 05:50 AM
0;52;32;02/07/15 05:51 AM
0;49;32;02/07/15 05:52 AM
0;50;32;02/07/15 05:53 AM
0;53;32;02/07/15 05:54 AM
0;56;32;02/07/15 05:55 AM
0;54;32;02/07/15 05:56 AM
0;49;32;02/07/15 05:57 AM
0;58;32;02/07/15 05:58 AM
0;56;32;02/07/15 05:59 AM
0;54;32;02/07/15 06:00 AM
0;53;32;02/07/15 06:01 AM
0;57;32;02/07/15 06:02 AM
0;56;32;02/07/15 06:03 AM
0;56;32;02/07/15 06:04 AM
0;59;32;02/07/15 06:05 AM
0;54;32;02/07/15 06:06 AM
0;56;32;02/07/15 06:07 AM
0;59;32;02/07/15 06:08 AM
0;59;32;02/07/15 06:09 AM
0;56;32;02/07/15 06:10 AM
0;54;32;02/07/15 06:11 AM
0;53;32;02/07/15 06:12 AM
0;55;32;02/07/15 06:13 AM
0;54;32;02/07/15 06:14 AM
0;54;32;02/07/15 06:15 AM
0;51;32;02/07/15 06:16 AM
0;53;32;02/07/15 06:17 AM
0;56;32;02/07/15 06:18 AM
0;55;32;02/07/15 06:19 AM
0;50;32;02/07/15 06:20 AM
0;53;32;02/07/15 06:21 AM
0;55;32;02/07/15 06:22 AM
0;51;32;02/07/15 06:23 AM
0;49;32;02/07/15 06:24 AM
0;50;32;02/07/15 06:25 AM
0;42;32;02/07/15 06:26 AM
0;51;32;02/07/15 06:27 AM
0;46;32;02/07/15 06:28 AM
0;46;32;02/07/15 06:29 AM
0;51;32;02/07/15 06:30 AM
0;47;32;02/07/15 06:31 AM
0;37;32;02/07/15 06:32 AM
0;37;32;02/07/15 06:33 AM
0;49;32;02/07/15 06:34 AM
0;46;32;02/07/15 06:35 AM
0;46;32;02/07/15 06:36 AM
0;50;32;02/07/15 06:37 AM
0;56;32;02/07/15 06:38 AM
0;55;32;02/07/15 06:39 AM
0;54;32;02/07/15 06:40 AM
0;52;32;02/07/15 06:41 AM
0;54;32;02/07/15 06:42 AM
0;53;32;02/07/15 06:43 AM
0;45;32;02/07/15 06:44 AM
0;47;32;02/07/15 06:45 AM
0;44;32;02/07/15 06:46 AM
0;41;32;02/07/15 06:47 AM
0;52;32;02/07/15 06:48 AM
0;46;32;02/07/15 06:49 AM
0;47;32;02/07/15 06:50 AM
0;49;32;02/07/15 06:51 AM
0;47;32;02/07/15 06:52 AM
0;44;32;02/07/15 06:53 AM
0;50;32;02/07/15 06:54 AM
0;31;32;02/07/15 06:55 AM
0;54;32;02/07/15 06:56 AM
0;43;32;02/07/15 06:57 AM
0;46;32;02/07/15 06:58 AM
0;48;32;02/07/15 06:59 AM
0;50;32;02/07/15 07:00 AM
0;46;32;02/07/15 07:01 AM
0;49;32;02/07/15 07:02 AM
0;51;32;02/07/15 07:03 AM
0;48;32;02/07/15 07:04 AM
0;47;32;02/07/15 07:05 AM
0;53;32;02/07/15 07:06 AM
0;56;32;02/07/15 07:07 AM
0;45;32;02/07/15 07:08 AM
0;44;32;02/07/15 07:09 AM
0;41;32;02/07/15 07:10 AM
0;44;32;02/07/15 07:11 AM
0;42;32;02/07/15 07:12 AM
0;44;32;02/07/15 07:13 AM
0;44;32;02/07/15 07:14 AM
0;39;32;02/07/15 07:15 AM
0;39;32;02/07/15 07:16 AM
0;45;32;02/07/15 07:17 AM
0;46;32;02/07/15 07:18 AM
0;46;32;02/07/15 07:19 AM
0;41;32;02/07/15 07:20 AM
0;49;32;02/07/15 07:21 AM
0;51;32;02/07/15 07:22 AM
0;47;32;02/07/15 07:23 AM
0;47;32;02/07/15 07:24 AM
0;42;32;02/07/15 07:25 AM
0;44;32;02/07/15 07:26 AM
0;40;32;02/07/15 07:27 AM
0;44;32;02/07/15 07:28 AM
0;47;32;02/07/15 07:29 AM
0;50;32;02/07/15 07:30 AM
0;47;32;02/07/15 07:31 AM
0;42;32;02/07/15 07:32 AM
0;50;32;02/07/15 07:33 AM
0;45;32;02/07/15 07:34 AM
0;56;32;02/07/15 07:35 AM
0;45;32;02/07/15 07:36 AM
0;41;32;02/07/15 07:37 AM
0;54;32;02/07/15 07:38 AM
0;48;32;02/07/15 07:39 AM
0;46;32;02/07/15 07:40 AM
0;50;32;02/07/15 07:41 AM
0;54;32;02/07/15 07:42 AM
0;52;32;02/07/15 07:43 AM
0;51;32;02/07/15 07:44 AM
0;46;32;02/07/15 07:45 AM
0;50;32;02/07/15 07:46 AM
0;48;32;02/07/15 07:47 AM
0;55;32;02/07/15 07:48 AM
0;49;32;02/07/15 07:49 AM
0;52;32;02/07/15 07:50 AM
0;37;32;02/07/15 07:51 AM
0;39;32;02/07/15 07:52 AM
0;43;32;02/07/15 07:53 AM
0;39;32;02/07/15 07:54 AM
0;43;32;02/07/15 07:55 AM
0;43;32;02/07/15 07:56 AM
0;46;32;02/07/15 07:57 AM
0;46;32;02/07/15 07:58 AM
0;45;32;02/07/15 07:59 AM
0;41;32;02/07/15 08:00 AM
0;44;32;02/07/15 08:01 AM
0;41;32;02/07/15 08:02 AM
0;47;32;02/07/15 08:03 AM
0;46;32;02/07/15 08:04 AM
0;47;32;02/07/15 08:05 AM
0;50;32;02/07/15 08:06 AM
0;46;32;02/07/15 08:07 AM
0;42;32;02/07/15 08:08 AM
0;51;32;02/07/15 08:09 AM
0;44;32;02/07/15 08:10 AM
0;43;32;02/07/15 08:11 AM
0;38;32;02/07/15 08:12 AM
0;45;32;02/07/15 08:13 AM
